time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-10-22T13:28:17.260Z,19.237166666667,-155.4085,29.17,1.32,md,11.0,190.0,0.0104,0.13,hv,hv74507586,2024-10-22T21:18:18.170Z,"8 km ENE of Pāhala, Hawaii",earthquake,1.08,0.9,0.061523451958424,6.0,reviewed,hv,hv
2024-10-22T13:23:23.687Z,64.53,-149.3985,10.6,1.1,ml,,,,0.99,ak,ak024dlqycc0,2024-10-22T13:25:05.377Z,"14 km WSW of Nenana, Alaska",earthquake,,1.0,,,automatic,ak,ak
2024-10-22T13:21:16.230Z,35.0735,-119.0801667,12.77,1.66,ml,38.0,63.0,0.01516,0.19,ci,ci40960232,2024-10-22T22:21:48.410Z,"20 km NW of Grapevine, CA",earthquake,0.24,0.49,0.137,26.0,reviewed,ci,ci
2024-10-22T13:15:12.890Z,19.377666666667,-155.2365,3.02,1.2,md,14.0,122.0,0.005627,0.11,hv,hv74507561,2024-10-22T21:36:29.850Z,"7 km S of Volcano, Hawaii",earthquake,0.42,0.44,0.013914116450699,2.0,reviewed,hv,hv
2024-10-22T12:48:54.037Z,-1.0635,127.374,10.0,4.9,mb,86.0,80.0,1.823,0.52,us,us7000nmeb,2024-10-22T13:36:14.040Z,"49 km SSW of Labuha, Indonesia",earthquake,6.78,1.852,0.07,67.0,reviewed,us,us
2024-10-22T12:43:52.670Z,-7.861,108.3777,89.798,4.9,mb,63.0,28.0,0.823,0.79,us,us7000nmea,2024-10-22T21:07:24.322Z,"56 km SSE of Kawalu, Indonesia",earthquake,6.92,6.37,0.082,47.0,reviewed,us,us
2024-10-22T12:37:48.700Z,39.726833333333,-110.80716666667,-3.46,0.94,md,7.0,187.0,0.05005,0.26,uu,uu80084851,2024-10-22T14:06:22.980Z,"4 km N of Kenilworth, Utah",earthquake,1.28,1.68,0.19388863878824,7.0,reviewed,uu,uu
2024-10-22T12:29:34.601Z,31.659,-104.366,4.1011,2.4,ml,18.0,70.0,0.1,0.4,tx,tx2024utyd,2024-10-22T13:08:56.040Z,"57 km S of Whites City, New Mexico",earthquake,0.0,1.2924870252609,0.1,14.0,automatic,tx,tx
2024-10-22T12:08:33.285Z,-3.048,147.4333,10.0,5.0,mb,57.0,49.0,4.855,0.61,us,us7000nme7,2024-10-22T12:29:16.040Z,"113 km S of Lorengau, Papua New Guinea",earthquake,7.1,1.843,0.085,44.0,reviewed,us,us
2024-10-22T12:06:54.368Z,32.387,-102.07,7.1533,1.5,ml,18.0,46.0,0.0,0.2,tx,tx2024utxj,2024-10-22T14:03:38.368Z,"36 km WSW of Ackerly, Texas",earthquake,0.73135703552456,1.0802658582528,0.1,6.0,reviewed,tx,tx
